year,destination_region,origin_country_grouped,passengers_total
2019,Central-West,Estados Unidos Da América,136808
2019,Central-West,Other,17833
2019,Central-West,Panamá,46649
2019,Central-West,Portugal,66558
2019,Central-West,República Dominicana,4826
2019,North,Estados Unidos Da América,75072
2019,North,Guiana Francesa,4110
2019,North,Other,4711
2019,North,Panamá,13771
2019,North,Portugal,24697
2019,North,Suriname,17604
2019,North,Venezuela,4994
2019,Northeast,Alemanha,15927
2019,Northeast,Argentina,154399
2019,Northeast,Espanha,68006
2019,Northeast,Estados Unidos Da América,151052
2019,Northeast,Other,130253
2019,Northeast,Panamá,21306
2019,Northeast,Portugal,274580
2019,South,Argentina,203474
2019,South,Chile,49659
2019,South,Other,5378
2019,South,Panamá,47449
2019,South,Peru,73378
2019,South,Portugal,38832
2019,South,Uruguai,43493
2019,Southeast,Argentina,1502174
2019,Southeast,Chile,949920
2019,Southeast,Espanha,495289
2019,Southeast,Estados Unidos Da América,2052414
2019,Southeast,França,462396
2019,Southeast,Other,3936877
2019,Southeast,Portugal,694688
2020,Central-West,Argentina,9710
2020,Central-West,Estados Unidos Da América,31693
2020,Central-West,Other,17119
2020,Central-West,Panamá,11816
2020,Central-West,Portugal,19832
2020,Central-West,República Dominicana,0
2020,North,Estados Unidos Da América,17816
2020,North,Guiana Francesa,640
2020,North,Other,689
2020,North,Panamá,3587
2020,North,Portugal,4422
2020,North,Suriname,6753
2020,North,Venezuela,828
2020,Northeast,Alemanha,0
2020,Northeast,Argentina,35970
2020,Northeast,Espanha,17561
2020,Northeast,Estados Unidos Da América,33976
2020,Northeast,Other,40719
2020,Northeast,Panamá,5015
2020,Northeast,Portugal,82038
2020,South,Argentina,70105
2020,South,Chile,28793
2020,South,Other,3708
2020,South,Panamá,10580
2020,South,Peru,20301
2020,South,Portugal,6661
2020,South,Uruguai,14784
2020,Southeast,Argentina,360913
2020,Southeast,Chile,236290
2020,Southeast,Espanha,146464
2020,Southeast,Estados Unidos Da América,657543
2020,Southeast,França,136005
2020,Southeast,Other,1202292
2020,Southeast,Portugal,264953
